时间,模块编号,地址,类型,容量mAh,循环
2026-06-27 11:02:22,Module2,97,discharge,388,1
2026-06-27 11:05:04,Module1,96,discharge,400,1
2026-06-27 11:23:51,Module2,97,charge,388,2
2026-06-27 11:28:22,Module1,96,charge,400,2
